Customer ID,Phone Service,Multiple Lines,Internet Type,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Revenue,Customer Status,Churn Category,Churn Reason
0067-DKWBL,Yes,No,DSL,Bank Withdrawal,49.25,91.1,0.0,179.08,Churned,Competitor,Competitor made better offer
1735-XMJVH,Yes,No,,Mailed Check,19.35,152.6,0.0,431.56,Stayed,,
1329-VHWNP,No,,DSL,Bank Withdrawal,25.05,189.95,0.0,189.95,Stayed,,
7432-FFVAR,Yes,No,Fiber Optic,Bank Withdrawal,90.95,4236.6,0.0,4574.56,Stayed,,
1769-GRUIK,Yes,No,Fiber Optic,Bank Withdrawal,71.1,1247.75,0.0,1447.43,Stayed,,
9137-UIYPG,Yes,No,Fiber Optic,Bank Withdrawal,106.9,3756.45,34.47,4785.13,Stayed,,
4456-RHSNB,Yes,No,DSL,Bank Withdrawal,49.6,962.9,0.0,1103.88,Stayed,,
0302-JOIVN,Yes,No,Fiber Optic,Bank Withdrawal,101.15,842.9,0.0,977.94,Churned,Competitor,Competitor made better offer
0505-SPOOW,Yes,No,,Bank Withdrawal,19.8,1397.65,0.0,2217.35,Stayed,,
3777-XROBG,Yes,No,,Credit Card,19.55,1079.65,0.0,3603.81,Stayed,,
3900-AQPHZ,Yes,No,,Mailed Check,19.9,19.9,0.0,69.41,Churned,Attitude,Attitude of support person
7605-BDWDC,No,,DSL,Bank Withdrawal,49.85,1520.1,0.0,1520.1,Stayed,,
8224-IVVPA,Yes,No,DSL,Credit Card,56.7,1652.95,0.0,2333.62,Stayed,,
4612-THJBS,Yes,Yes,Fiber Optic,Bank Withdrawal,104.75,5510.65,0.0,7447.13,Churned,Attitude,Attitude of service provider
5052-PNLOS,Yes,Yes,Fiber Optic,Bank Withdrawal,105.35,323.25,0.0,364.74,Churned,Dissatisfaction,Poor expertise of online support
9091-WTUUY,Yes,No,DSL,Mailed Check,69.25,4447.75,0.0,6095.11,Stayed,,
5049-MUBWG,Yes,No,DSL,Bank Withdrawal,75.0,1908.35,0.0,3198.21,Stayed,,
8634-CILSZ,Yes,Yes,Fiber Optic,Bank Withdrawal,104.7,7220.35,0.0,8630.71,Churned,Competitor,Competitor made better offer
2123-AGEEN,Yes,No,Fiber Optic,Bank Withdrawal,84.35,609.65,29.17,774.51,Stayed,,
6114-TCFID,No,,Cable,Credit Card,39.5,1082.75,0.0,1082.75,Stayed,,
4248-HCETZ,Yes,No,Fiber Optic,Credit Card,79.65,2365.15,0.0,2552.05,Churned,Attitude,Attitude of support person
8722-NGNBH,No,,Cable,Credit Card,40.0,223.45,0.0,223.45,Churned,Competitor,Competitor had better devices
7175-NTIXE,Yes,No,DSL,Credit Card,76.15,1992.95,0.0,2534.7,Stayed,,
4139-DETXS,No,,DSL,Bank Withdrawal,64.45,4528.0,0.0,4528.0,Stayed,,
6024-RUGGH,Yes,Yes,,Bank Withdrawal,25.2,1798.9,0.0,3819.22,Stayed,,
5057-RKGLH,Yes,No,,Credit Card,20.35,191.1,0.0,468.57,Stayed,,
9249-FXSCK,Yes,Yes,Fiber Optic,Credit Card,111.25,5916.45,1.27,7667.06,Churned,Competitor,Competitor offered more data
3896-RCYYE,No,,DSL,Credit Card,53.4,3579.15,0.0,3579.15,Stayed,,
6131-FOYAS,Yes,Yes,DSL,Bank Withdrawal,59.6,2094.9,0.0,2816.25,Stayed,,
6692-YQHXC,Yes,No,Fiber Optic,Credit Card,69.95,1205.5,0.0,1644.38,Stayed,,
5889-JTMUL,Yes,Yes,Fiber Optic,Bank Withdrawal,95.05,4888.7,0.0,6516.7,Churned,Price,Price too high
7521-YXVZY,Yes,No,,Mailed Check,19.95,58.3,0.0,73.75,Joined,,
3537-RYBHH,Yes,Yes,DSL,Credit Card,67.45,3252.0,0.0,5450.19,Stayed,,
6305-YLBMM,Yes,No,Fiber Optic,Bank Withdrawal,104.05,7262.0,0.0,7435.88,Churned,Attitude,Attitude of service provider
1577-HKTFG,Yes,No,,Bank Withdrawal,19.65,655.85,0.0,1116.65,Churned,Attitude,Attitude of support person
7402-EYFXX,Yes,Yes,Fiber Optic,Bank Withdrawal,93.6,2404.1,0.0,3055.14,Stayed,,
1796-JANOW,Yes,No,,Credit Card,19.95,38.15,0.0,107.29,Joined,,
3401-URHDA,Yes,Yes,Cable,Credit Card,59.9,3043.6,0.0,3545.95,Stayed,,
4598-XLKNJ,Yes,No,Fiber Optic,Bank Withdrawal,98.5,2514.5,13.43,2995.07,Churned,Dissatisfaction,Limited range of services
3757-NJYBX,Yes,Yes,Fiber Optic,Bank Withdrawal,106.35,3520.75,0.0,3774.19,Churned,Other,Moved
2272-JKMSI,Yes,Yes,Fiber Optic,Bank Withdrawal,110.8,6840.95,0.0,7662.45,Stayed,,
7000-WCEVQ,Yes,Yes,DSL,Credit Card,61.6,1174.35,0.0,1716.55,Churned,Price,Long distance charges
9089-UOWJG,Yes,No,DSL,Credit Card,58.35,740.55,0.0,836.19,Stayed,,
2845-AFFTX,Yes,Yes,Fiber Optic,Bank Withdrawal,99.8,4259.3,8.88,5175.38,Churned,Dissatisfaction,Product dissatisfaction
2371-JQHZZ,Yes,Yes,Fiber Optic,Bank Withdrawal,93.0,2248.05,0.0,3413.89,Stayed,,
1357-MVDOZ,Yes,No,DSL,Bank Withdrawal,59.65,683.25,0.0,915.79,Stayed,,
1213-NGCUN,Yes,No,DSL,Bank Withdrawal,49.65,267.35,0.0,560.69,Churned,Dissatisfaction,Lack of self-service on Website
9822-BIIGN,Yes,Yes,Cable,Bank Withdrawal,71.85,3827.9,0.0,5288.58,Stayed,,
3011-WQKSZ,Yes,No,,Bank Withdrawal,20.0,377.55,0.0,835.45,Stayed,,
5377-NDTOU,Yes,Yes,Cable,Credit Card,91.05,6293.75,0.0,6968.25,Stayed,,
1436-ZMJAN,Yes,No,Cable,Credit Card,67.8,653.15,0.0,1023.95,Stayed,,
4060-LDNLU,Yes,Yes,Fiber Optic,Bank Withdrawal,96.2,639.7,0.0,961.21,Stayed,,
6711-FLDFB,Yes,Yes,Fiber Optic,Bank Withdrawal,74.9,541.15,0.0,868.68,Churned,Competitor,Competitor had better devices
8597-CTXVJ,Yes,Yes,Cable,Bank Withdrawal,64.95,4551.5,20.87,6394.03,Stayed,,
5846-NEQVZ,Yes,No,Cable,Credit Card,70.85,4973.4,0.0,5145.93,Stayed,,
8000-REIQB,Yes,No,Fiber Optic,Bank Withdrawal,69.95,69.95,0.0,102.45,Churned,Competitor,Competitor made better offer
6559-ILWKJ,No,,Cable,Bank Withdrawal,49.35,3515.25,0.0,3615.25,Churned,Dissatisfaction,Product dissatisfaction
7407-SUJIZ,Yes,No,,Credit Card,20.6,541.5,0.0,875.5,Stayed,,
3132-TVFDZ,No,,Cable,Bank Withdrawal,44.85,2572.95,12.07,2560.88,Churned,Attitude,Attitude of support person
2302-OUZXB,Yes,Yes,DSL,Bank Withdrawal,82.15,5784.3,0.0,7369.02,Stayed,,
4062-HBMOS,Yes,Yes,Fiber Optic,Bank Withdrawal,103.05,5364.8,46.67,5599.97,Stayed,,
4647-XXZAM,Yes,No,DSL,Credit Card,45.5,285.2,0.0,461.66,Stayed,,
8495-PRWFH,Yes,Yes,Cable,Bank Withdrawal,55.65,2421.75,0.0,3555.75,Stayed,,
3696-XRIEN,Yes,Yes,DSL,Credit Card,82.5,4179.1,21.35,5220.25,Stayed,,
4629-NRXKX,Yes,No,Fiber Optic,Bank Withdrawal,70.4,147.15,0.0,239.61,Churned,Dissatisfaction,Network reliability
3450-WXOAT,Yes,No,Cable,Credit Card,45.2,2065.15,0.0,3175.13,Stayed,,
0754-EEBDC,Yes,No,,Mailed Check,19.9,76.65,0.0,174.93,Stayed,,
8242-SOQUO,Yes,No,Fiber Optic,Bank Withdrawal,84.7,392.5,41.2,422.4,Stayed,,
8661-BOYNW,Yes,Yes,DSL,Credit Card,84.4,6096.45,0.0,6474.45,Stayed,,
3740-RLMVT,Yes,No,Cable,Bank Withdrawal,60.95,4119.4,17.19,6920.9,Stayed,,
7251-XFOIL,Yes,Yes,Fiber Optic,Credit Card,89.2,5500.6,0.0,6386.32,Stayed,,
2931-FSOHN,Yes,No,DSL,Bank Withdrawal,59.9,788.35,0.0,1437.05,Stayed,,
2430-RRYUW,Yes,No,DSL,Mailed Check,54.8,3465.7,0.0,4228.66,Stayed,,
9153-BTBVV,Yes,Yes,,Bank Withdrawal,25.0,1753.0,0.0,5161.71,Stayed,,
4808-YNLEU,Yes,No,DSL,Bank Withdrawal,62.15,2215.45,0.0,3074.0,Stayed,,
2710-WYVXG,Yes,No,DSL,Credit Card,71.1,213.35,2.62,321.73,Joined,,
8845-LWKGE,Yes,No,Cable,Bank Withdrawal,64.5,1985.15,0.0,3087.35,Stayed,,
4342-HFXWS,Yes,No,DSL,Bank Withdrawal,69.7,3023.65,0.0,5167.33,Stayed,,
9361-YNQWJ,Yes,Yes,,Bank Withdrawal,24.4,1601.2,0.0,2620.72,Stayed,,
1386-ZIKUV,Yes,No,,Credit Card,18.95,130.55,0.0,362.81,Stayed,,
1608-GMEWB,Yes,Yes,Fiber Optic,Bank Withdrawal,93.9,4200.25,0.0,4904.5,Stayed,,
2256-YLYLP,Yes,No,DSL,Bank Withdrawal,72.95,4953.25,0.0,7274.09,Stayed,,
0723-VSOBE,No,,Cable,Bank Withdrawal,34.2,1596.6,0.0,1596.6,Stayed,,
0479-HMSWA,Yes,No,Fiber Optic,Bank Withdrawal,105.45,2715.3,0.0,2779.78,Stayed,,
9227-YBAXE,Yes,Yes,DSL,Bank Withdrawal,82.5,5215.1,0.0,5563.85,Stayed,,
2862-PFNIK,No,,Cable,Bank Withdrawal,24.7,24.7,0.0,24.7,Joined,,
5103-MHMHY,Yes,No,Cable,Mailed Check,45.95,45.95,0.0,92.12,Churned,Competitor,Competitor had better devices
7427-AUFPY,Yes,No,,Credit Card,19.65,1008.7,0.0,2397.58,Stayed,,
4530-NDRKU,Yes,No,,Bank Withdrawal,19.05,761.85,0.0,2217.57,Stayed,,
9693-XMUOB,No,,Cable,Bank Withdrawal,50.25,2997.45,0.0,2997.45,Stayed,,
4086-WITJG,Yes,No,,Credit Card,19.7,1301.1,0.0,2356.16,Stayed,,
3663-MITLP,Yes,No,Fiber Optic,Bank Withdrawal,101.25,1457.25,0.0,1709.55,Churned,Dissatisfaction,Lack of self-service on Website
7361-YPXFS,Yes,Yes,Cable,Bank Withdrawal,64.45,1867.6,0.0,2223.76,Stayed,,
7923-IYJWY,Yes,Yes,Fiber Optic,Credit Card,116.1,7839.85,0.0,10865.37,Stayed,,
3898-BSJYF,Yes,Yes,Cable,Credit Card,73.55,693.3,0.0,835.7,Stayed,,
7131-ZQZNK,No,,DSL,Credit Card,59.85,3590.2,0.0,3590.2,Stayed,,
5546-BYZSM,Yes,No,,Bank Withdrawal,20.45,775.6,0.0,1410.28,Stayed,,
0795-GMVQO,Yes,Yes,Fiber Optic,Credit Card,109.9,7332.4,0.0,8882.11,Stayed,,
6340-DACFT,Yes,No,,Credit Card,20.55,1070.25,0.0,1576.75,Stayed,,
6248-BSHKG,Yes,No,,Credit Card,20.4,1226.45,0.0,3147.34,Stayed,,
8292-ITGYJ,Yes,Yes,,Bank Withdrawal,24.65,1138.8,0.0,2043.75,Stayed,,
9840-EFJQB,Yes,No,Fiber Optic,Bank Withdrawal,74.35,74.35,0.0,98.76,Joined,,
2907-ILJBN,Yes,No,,Credit Card,20.6,233.9,0.0,255.02,Stayed,,
1074-WVEVG,Yes,No,,Credit Card,20.35,1267.0,0.0,3121.37,Stayed,,
3580-HYCSP,Yes,Yes,Fiber Optic,Bank Withdrawal,110.3,7966.9,0.0,10343.62,Stayed,,
5397-NSKQG,No,,DSL,Credit Card,50.9,3281.65,0.0,3281.65,Stayed,,
8309-IEYJD,Yes,No,Fiber Optic,Credit Card,70.6,70.6,0.0,133.21,Joined,,
8023-QHAIO,Yes,Yes,Fiber Optic,Bank Withdrawal,76.85,4275.75,0.0,5939.11,Stayed,,
2834-JKOOW,No,,DSL,Credit Card,45.9,693.45,16.27,677.18,Stayed,,
9804-ICWBG,Yes,No,Fiber Optic,Bank Withdrawal,69.9,69.9,0.0,115.4,Churned,Attitude,Attitude of support person
0816-TSPHQ,Yes,No,,Credit Card,20.75,44.2,0.0,99.54,Joined,,
5032-USPKF,Yes,Yes,DSL,Bank Withdrawal,84.1,3187.65,0.0,4141.83,Stayed,,
6473-ULUHT,Yes,Yes,DSL,Bank Withdrawal,84.9,1398.25,0.0,1544.81,Stayed,,
2143-LJULT,Yes,Yes,,Credit Card,25.25,1733.15,0.0,4100.93,Stayed,,
8566-YPRGL,Yes,No,,Credit Card,19.5,19.5,0.0,52.52,Joined,,
2824-DXNKN,Yes,Yes,Cable,Bank Withdrawal,71.45,5025.85,0.0,7833.13,Stayed,,
9680-NIAUV,Yes,Yes,Fiber Optic,Credit Card,109.7,8129.3,0.0,9472.82,Stayed,,
3521-SYVOR,Yes,No,Cable,Bank Withdrawal,64.75,2345.2,0.0,2466.19,Churned,Attitude,Attitude of support person
2774-LVQUS,Yes,Yes,Fiber Optic,Bank Withdrawal,83.05,1258.3,0.0,2030.25,Churned,Competitor,Competitor made better offer
8387-MOJJT,Yes,No,Fiber Optic,Credit Card,77.95,3384.0,0.0,4812.84,Churned,Competitor,Competitor made better offer
5504-WSIUR,Yes,Yes,Fiber Optic,Bank Withdrawal,90.25,6385.95,0.0,7423.95,Stayed,,
2207-QPJED,Yes,No,Fiber Optic,Bank Withdrawal,90.0,3371.75,0.0,3948.95,Stayed,,
5950-AAAGJ,Yes,Yes,Fiber Optic,Bank Withdrawal,84.3,1537.9,0.0,1578.58,Stayed,,
5197-PYEPU,Yes,Yes,Fiber Optic,Credit Card,94.45,3923.8,0.0,4331.34,Stayed,,
5349-AZPEW,No,,DSL,Credit Card,25.05,125.5,0.0,125.5,Stayed,,
8148-NLEGT,Yes,Yes,,Bank Withdrawal,22.95,1014.25,0.0,1600.15,Stayed,,
1439-LCGVL,Yes,No,,Credit Card,-5.0,459.6,0.0,505.1,Stayed,,
1730-ZMAME,Yes,No,Fiber Optic,Bank Withdrawal,79.5,2665.0,0.0,4220.84,Stayed,,
7363-QTBIW,Yes,No,Fiber Optic,Bank Withdrawal,79.75,769.1,0.0,830.12,Stayed,,
1257-SXUXQ,Yes,No,,Credit Card,19.45,86.05,0.0,126.25,Stayed,,
4942-VZZOM,Yes,Yes,DSL,Credit Card,66.15,4392.5,0.0,6789.94,Stayed,,
5599-HVLTW,Yes,Yes,Fiber Optic,Bank Withdrawal,80.35,1058.1,32.71,1128.15,Stayed,,
9101-NTIXF,Yes,No,,Credit Card,19.4,50.6,0.0,80.92,Joined,,
3251-YMVWZ,Yes,Yes,,Bank Withdrawal,24.05,1301.9,0.0,3388.51,Stayed,,
9764-REAFF,Yes,No,,Bank Withdrawal,18.4,1057.85,0.0,2650.26,Stayed,,
5176-LMJXE,Yes,No,,Credit Card,20.55,945.7,0.0,3046.13,Stayed,,
0323-XWWTN,Yes,Yes,,Credit Card,26.4,121.25,0.0,222.86,Joined,,
5844-QVTAT,Yes,No,Cable,Credit Card,58.45,1955.4,0.0,2245.47,Stayed,,
8100-HZZLJ,Yes,No,Cable,Bank Withdrawal,63.95,2737.05,0.0,2977.85,Stayed,,
2038-LLMLM,Yes,Yes,Fiber Optic,Bank Withdrawal,-4.0,4946.05,0.0,5450.05,Stayed,,
9522-ZSINC,Yes,No,,Bank Withdrawal,19.95,253.8,0.0,349.09,Stayed,,
7799-DSEWS,Yes,No,DSL,Bank Withdrawal,68.35,1299.8,0.0,2176.04,Stayed,,
5143-EGQFK,No,,Cable,Bank Withdrawal,29.65,291.4,0.0,401.4,Churned,Other,Don't know
9309-BZGNT,No,,DSL,Credit Card,29.8,2134.3,0.0,2134.3,Stayed,,
0774-IFUVM,Yes,Yes,DSL,Bank Withdrawal,65.15,723.35,0.0,907.16,Stayed,,
8821-XNHVZ,Yes,No,Fiber Optic,Mailed Check,80.05,80.05,0.0,119.84,Churned,Competitor,Competitor made better offer
9739-JLPQJ,Yes,Yes,Fiber Optic,Credit Card,117.5,8670.1,47.55,11025.19,Stayed,,
1094-BKOSX,No,,Cable,Bank Withdrawal,51.0,2264.5,0.0,2264.5,Stayed,,
4373-MAVJG,Yes,Yes,Fiber Optic,Bank Withdrawal,90.9,1259.0,0.0,1449.96,Churned,Competitor,Competitor made better offer
0970-QXPXW,Yes,No,,Credit Card,19.65,19.65,0.0,62.07,Joined,,
0463-ZSDNT,Yes,No,DSL,Bank Withdrawal,56.75,503.25,0.0,836.25,Stayed,,
8610-ZIKJJ,Yes,No,,Credit Card,20.3,31.9,0.0,102.74,Joined,,
7853-OETYL,No,,DSL,Bank Withdrawal,29.05,129.6,0.0,129.6,Stayed,,
5921-NGYRH,Yes,No,Fiber Optic,Credit Card,73.55,4764.0,21.9,7840.34,Stayed,,
2990-IAJSV,Yes,Yes,Cable,Bank Withdrawal,92.0,6632.75,0.0,9902.27,Stayed,,
9095-HFAFX,Yes,No,Fiber Optic,Credit Card,81.0,389.6,0.0,500.6,Churned,Competitor,Competitor made better offer
2263-SFSQZ,Yes,Yes,,Credit Card,24.95,1222.25,0.0,2081.6,Stayed,,
8083-YTZES,Yes,Yes,Fiber Optic,Bank Withdrawal,74.35,265.35,0.0,456.63,Churned,Attitude,Attitude of support person
8058-DMYRU,Yes,Yes,Fiber Optic,Bank Withdrawal,-8.0,4931.8,0.0,5935.12,Stayed,,
3039-MJSLN,Yes,No,,Bank Withdrawal,20.2,50.6,0.0,105.89,Joined,,
8318-LCNBW,No,,DSL,Credit Card,53.15,1930.9,0.0,1930.9,Stayed,,
5322-ZSMZY,Yes,Yes,,Credit Card,25.75,755.6,0.0,973.53,Stayed,,
5159-YFPKQ,Yes,No,Fiber Optic,Bank Withdrawal,75.8,160.75,0.0,209.37,Churned,Competitor,Competitor had better devices
1075-BGWOH,Yes,Yes,Fiber Optic,Bank Withdrawal,98.75,1587.55,0.0,1830.11,Churned,Attitude,Attitude of support person
2236-HILPA,Yes,No,,Credit Card,20.65,1218.45,0.0,1909.75,Stayed,,
5443-SCMKX,Yes,Yes,Fiber Optic,Bank Withdrawal,94.3,5610.15,5.55,6994.64,Stayed,,
4145-UQXUQ,Yes,No,Fiber Optic,Bank Withdrawal,92.1,729.95,0.0,1073.39,Churned,Competitor,Competitor had better devices
3911-RSNHI,No,,DSL,Credit Card,61.4,4310.35,0.0,4310.35,Stayed,,
5698-BQJOH,Yes,Yes,Fiber Optic,Bank Withdrawal,94.4,857.25,0.0,1102.14,Churned,Price,Price too high
7328-ZJAJO,Yes,No,,Credit Card,19.5,1222.65,0.0,1783.74,Stayed,,
9084-OAYKL,Yes,No,,Credit Card,20.8,1212.25,0.0,4055.41,Stayed,,
9339-FIIJL,Yes,Yes,DSL,Bank Withdrawal,85.95,6151.9,0.0,6941.74,Stayed,,
3162-ZJZFU,Yes,No,Fiber Optic,Bank Withdrawal,92.55,4779.45,0.0,6068.94,Stayed,,
4615-PIVVU,Yes,No,Cable,Credit Card,66.5,2762.75,0.0,4222.67,Stayed,,
3372-KWFBM,Yes,Yes,Fiber Optic,Bank Withdrawal,86.6,1281.0,0.0,1587.88,Churned,Dissatisfaction,Network reliability
6615-ZGEDR,Yes,No,,Mailed Check,19.7,19.7,0.0,21.61,Churned,Attitude,Attitude of service provider
5762-TJXGK,No,,DSL,Bank Withdrawal,58.75,3038.55,0.0,3038.55,Stayed,,
3594-BDSOA,Yes,No,,Credit Card,20.4,482.8,0.0,1343.44,Stayed,,
9330-DHBFL,Yes,No,DSL,Credit Card,66.25,1533.8,23.92,1772.08,Stayed,,
1251-KRREG,Yes,Yes,DSL,Credit Card,54.4,114.1,0.0,202.72,Churned,Price,Price too high
2674-MIAHT,Yes,Yes,Fiber Optic,Credit Card,80.3,324.2,0.0,479.16,Stayed,,
1349-WXNGG,Yes,No,,Bank Withdrawal,20.05,20.05,0.0,32.05,Churned,Attitude,Attitude of support person
7291-CDTMJ,Yes,No,,Bank Withdrawal,19.65,19.65,0.0,33.5,Joined,,
5977-CKHON,Yes,Yes,Fiber Optic,Bank Withdrawal,92.55,4039.0,0.0,5221.07,Stayed,,
6599-RCLCJ,Yes,Yes,Fiber Optic,Bank Withdrawal,109.55,5124.55,0.0,5482.69,Churned,Competitor,Competitor made better offer
4010-YLMVT,Yes,Yes,Fiber Optic,Credit Card,106.6,5893.95,0.0,7281.07,Stayed,,
5707-ORNDZ,Yes,Yes,DSL,Bank Withdrawal,54.55,494.05,0.0,516.1,Churned,Dissatisfaction,Network reliability
3158-MOERK,Yes,Yes,Fiber Optic,Bank Withdrawal,96.0,174.8,0.0,271.48,Churned,Competitor,Competitor offered more data
0618-XWMSS,Yes,No,Fiber Optic,Bank Withdrawal,74.9,2068.55,0.0,3308.39,Churned,Price,Long distance charges
5047-LHVLY,Yes,No,Cable,Mailed Check,-9.0,50.15,0.0,89.93,Churned,Competitor,Competitor made better offer
0531-XBKMM,Yes,Yes,DSL,Bank Withdrawal,65.7,4378.9,0.0,6498.82,Stayed,,
1448-CYWKC,Yes,Yes,Fiber Optic,Credit Card,105.2,6225.4,34.83,8685.15,Stayed,,
1106-HRLKZ,Yes,No,,Credit Card,19.6,808.95,0.0,1727.35,Stayed,,
5063-IUOKK,Yes,No,,Credit Card,19.75,265.75,0.0,397.18,Stayed,,
6120-RJKLU,Yes,No,DSL,Credit Card,79.95,4819.75,0.0,6346.19,Stayed,,
9134-CEQMF,Yes,No,Fiber Optic,Bank Withdrawal,89.5,676.7,0.0,772.11,Churned,Dissatisfaction,Network reliability
3890-RTCMS,Yes,No,DSL,Credit Card,49.45,799.0,0.0,1574.2,Stayed,,
8258-GSTJK,Yes,Yes,Fiber Optic,Bank Withdrawal,77.0,237.75,0.0,382.77,Churned,Competitor,Competitor had better devices
7109-CQYUZ,Yes,Yes,DSL,Credit Card,89.25,4652.4,0.0,5006.0,Stayed,,
3285-UCQVC,No,,DSL,Credit Card,28.6,973.55,0.0,973.55,Churned,Other,Don't know
4659-NZRUF,Yes,Yes,Fiber Optic,Bank Withdrawal,95.15,1789.25,0.0,2533.78,Churned,Price,Long distance charges
2242-MFOTG,Yes,Yes,Fiber Optic,Bank Withdrawal,80.1,2603.3,0.0,3451.73,Stayed,,
2226-ICFDO,Yes,Yes,DSL,Credit Card,85.9,6110.75,0.0,6893.39,Stayed,,
1832-PEUTS,Yes,Yes,Fiber Optic,Credit Card,89.1,5411.65,0.0,7752.15,Stayed,,
0123-CRBRT,Yes,Yes,DSL,Mailed Check,88.1,5526.75,0.0,8405.34,Stayed,,
3785-KTYSH,Yes,Yes,,Credit Card,24.6,1279.0,37.68,3051.8,Stayed,,
6861-OKBCE,Yes,No,,Credit Card,20.1,221.35,0.0,585.01,Churned,Attitude,Attitude of support person
2023-VQFDL,Yes,No,,Bank Withdrawal,19.0,348.8,0.0,945.68,Stayed,,
2108-YKQTY,Yes,No,DSL,Credit Card,50.7,151.3,0.0,190.54,Churned,Other,Don't know
9650-VBUOG,Yes,Yes,,Credit Card,25.05,963.95,0.0,2221.75,Stayed,,
6821-BUXUX,Yes,Yes,Fiber Optic,Bank Withdrawal,96.65,1244.5,0.0,1465.76,Churned,Competitor,Competitor made better offer
4779-ZGICK,Yes,Yes,,Credit Card,23.55,1173.35,0.0,1742.63,Stayed,,
6732-VAILE,Yes,Yes,Cable,Credit Card,85.95,5931.75,0.0,8035.95,Stayed,,
3445-HXXGF,No,,DSL,Bank Withdrawal,45.3,2651.2,40.95,2610.25,Churned,Dissatisfaction,Service dissatisfaction
2386-OWURY,Yes,No,Fiber Optic,Bank Withdrawal,95.3,5817.7,0.0,7879.6,Stayed,,
1496-GGSUK,No,,Cable,Mailed Check,25.7,25.7,0.0,25.7,Churned,Attitude,Attitude of service provider
8100-PNJMH,Yes,Yes,Cable,Credit Card,88.85,6132.7,0.0,8962.18,Stayed,,
4745-LSPLO,Yes,No,,Credit Card,20.5,20.5,0.0,40.35,Churned,Attitude,Attitude of support person
8120-JDCAM,Yes,No,Fiber Optic,Credit Card,69.55,284.9,0.0,433.82,Stayed,,
1569-TTNYJ,Yes,Yes,Fiber Optic,Bank Withdrawal,78.75,412.1,0.0,427.9,Churned,Other,Don't know
2603-HVKCG,Yes,No,Fiber Optic,Bank Withdrawal,101.4,3143.65,0.0,3744.43,Stayed,,
8727-XDPUD,No,,DSL,Credit Card,35.8,1316.9,0.0,1416.9,Stayed,,
1591-NFNLQ,Yes,Yes,Fiber Optic,Credit Card,80.0,4242.35,0.0,4528.97,Churned,Dissatisfaction,Poor expertise of online support
7503-QQRVF,Yes,No,Fiber Optic,Credit Card,74.3,1178.25,0.0,1596.17,Churned,Competitor,Competitor had better devices
1169-WCVAK,Yes,Yes,Fiber Optic,Credit Card,88.8,1672.35,0.0,2319.3,Stayed,,
3143-ILDAL,Yes,Yes,Fiber Optic,Bank Withdrawal,94.45,5124.6,0.0,6547.56,Churned,Attitude,Attitude of support person
3472-OAOOR,No,,Cable,Credit Card,34.95,610.2,0.0,610.2,Stayed,,
8544-GOQSH,Yes,No,Fiber Optic,Credit Card,80.05,1112.3,0.0,1135.96,Stayed,,
